year,EastAsia,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1961,0.004591312,0.050328104,0.031319578,0.022058055,0.017739574,0.044940991,0.022071497
1962,0.00602833,0.078881481,0.444851528,-0.036927,0.05465471,0.044920642,0.057073872
1963,0.089194242,0.092177943,-0.007879722,0.093474083,0.040583188,0.100846598,0.11615901
1964,0.12060634,0.093504637,0.079100634,0.074215837,0.060090463,0.12018827,-0.04167437
1965,0.089531783,0.076982042,0.058957609,0.390576942,0.071698893,0.050596371,0.086109593
1966,0.088804534,0.103922938,0.072526494,0.027817331,0.08425739,-0.17757685,0.053420185
1967,0.079453214,0.067093502,-0.005620741,0.038661199,0.046391856,0.075815476,-0.024497339
1968,0.07465199,0.036954565,0.046434506,0.312866144,0.082260355,0.024759406,0.043702492
1969,0.122250537,0.096728664,0.089725232,0.07647228,0.072599699,0.07474337,0.113034669
1970,0.129611306,0.419604153,0.100068677,-0.02178873,0.044092579,0.058325285,0.145876346
1971,0.099580928,0.119272037,0.088592407,0.151602997,0.073253509,0.039779386,-0.005683659
1972,0.212294008,0.188300807,0.098055423,0.179024048,0.089497965,-0.017303222,0.095061675
1973,0.28778694,0.26009822,0.298946888,0.317391468,0.10726501,0.117409686,0.24421373
1974,0.12516793,0.121504958,0.267389648,0.816575598,0.085232246,0.18386007,0.262293471
1975,0.074257545,0.16001179,0.0247585,0.164690833,0.078573926,0.045807415,0.071756852
1976,0.079336995,0.031938755,0.071894446,0.228481999,0.10805804,-0.046570229,0.054238469
1977,0.173735159,0.125669213,0.074063636,0.129325674,0.091423917,0.130995673,0.06752674
1978,0.243387161,0.21231135,0.108661668,0.036250734,0.1089375,0.111246715,0.073059893
1979,0.06703476,0.215150616,0.160363884,0.272941675,0.104649997,0.09378164,0.165926208
1980,0.061793762,0.166564672,0.18881451,0.262232531,0.080094134,0.178362191,0.272737699
1981,0.085998359,-0.115851901,0.11770329,0.002277728,0.110815859,0.035247042,0.369272578
1982,-0.035656218,-0.042067238,-0.092966819,-0.034019014,0.030889087,-0.003545106,-0.106871975
1983,0.046454642,-0.035369107,-0.142651798,-0.020929773,0.076795383,0.033917954,-0.144543672
1984,0.054331724,-0.043935997,-0.020715812,-0.01324984,0.095657236,-0.027674145,-0.148940796
1985,0.046199358,0.028734979,-0.025595009,-0.005978322,0.061259335,0.062487299,-0.103112973
1986,0.288171681,0.356666253,-0.019270185,-0.005387886,0.044108526,0.035090829,0.005645718
1987,0.150772321,0.251223781,0.033076773,-0.106501458,0.056542169,0.085460657,0.105322685
1988,0.183864012,0.203271433,0.095736868,-0.07387637,0.07626367,0.050674659,0.042350812
1989,0.020582321,0.007424461,0.070609492,0.009302414,0.069518738,-0.013062267,-0.009479603
1990,0.027436764,0.247419804,0.170852704,0.339521222,0.044202826,0.0530259,0.142341269
1991,0.113124328,0.030917041,0.054318326,-0.434743035,0.018633567,-0.129649003,0.020076476
1992,0.074830754,0.067772849,0.072629114,0.073721776,0.036597274,0.039179281,-0.11060153
1993,0.107357192,-0.08479835,0.140387636,0.125322515,0.031954687,-0.030497333,-0.085212647
1994,0.120469328,0.043135028,0.154121312,0.03628569,0.045018264,0.110683177,-0.053048053
1995,0.123727471,0.161810649,0.068229988,0.269826369,0.035874071,0.087148617,0.127696487
1996,-0.050459101,0.019013028,0.064782227,0.107438832,0.043523594,0.07203256,0.016580542
1997,-0.057705974,-0.053287012,0.079016647,0.031407147,0.048538161,0.028370796,0.011080467
1998,-0.115886315,0.025324274,-0.006656939,-0.040695986,0.038465058,-0.005573101,-0.057276216
1999,0.107296466,-0.012168868,-0.111112495,0.065337481,0.05140126,0.05114801,-0.01625839
2000,0.071743386,-0.058302957,0.088332246,0.099717243,0.054932672,0.034055482,0.036143904
2001,-0.077617458,0.008720785,-0.034967206,-0.023526328,0.019346346,0.005781548,-0.065021888
2002,0.007514688,0.093507139,-0.112808265,-0.023642622,0.02289752,0.036594784,0.058914791
2003,0.093516237,0.212717767,0.00711004,0.088119713,0.047566316,0.146896231,0.227679879
2004,0.114192969,0.16194141,0.137425139,0.158505544,0.062322129,0.13966049,0.210923333
2005,0.058592953,0.060631824,0.193980348,0.179522516,0.063257649,0.126630994,0.156502154
2006,0.053022861,0.079704039,0.157842511,0.147821528,0.054712377,0.12024298,0.147647237
2007,0.111828152,0.164541758,0.164269892,0.156167903,0.043428173,0.238030642,0.127908667
2008,0.14924091,0.09535235,0.149027327,0.220225908,0.014051043,0.000162746,0.118547241
2009,0.024686596,-0.123911135,-0.071058834,-0.116014811,-0.037539062,0.086005518,-0.064019542
2010,0.160121469,0.018617031,0.226135073,0.144003765,0.042327276,0.206836267,0.152271554
2011,0.153338301,0.106052183,0.126439078,0.105715468,0.035756473,0.088601861,0.095973318
2012,0.062486693,-0.040434249,-0.000502261,0.055630128,0.03165992,-0.002086964,0.013983608
2013,0.002780957,0.040392674,0.013733831,-0.036171624,0.026078425,0.01263304,0.035383878
2014,0.023411114,0.009198619,0.009144833,-0.014558018,0.027807729,0.081469464,0.007933553
2015,-0.010993758,-0.142613176,-0.212228826,-0.136436987,0.013487299,0.031438946,-0.122920754
2016,0.028387153,-0.007503588,-0.032331518,-0.009221968,0.015509034,0.09960253,-0.093138351
2017,0.060126166,0.055630053,0.100425986,0.022183034,0.03760739,0.126472042,0.055420222
2018,0.083298594,0.067217743,-0.031145241,0.031443787,0.046694432,0.017096412,-0.009746479
2019,0.015367775,-0.015142752,-0.023009308,-0.021737105,0.032982733,0.022408208,0.006838946
2020,-0.003106799,-0.039946869,-0.164235138,-0.118521968,-0.03442595,-0.056414135,-0.072694467
2021,0.133795623,0.129903459,0.089884615,-0.125900477,0.106771747,0.153271795,0.096003446